section_size,eccentricity,length,DCR,median,log_standard_deviation
W14X730,0.0,1,0.75,-,-
W14X730,0.0,1,0.5,-,-
W14X730,0.0,1,0.25,-,-
W14X730,0.0,1,0.15,-,-
W14X730,0.0,1,0.05,-,-
W33X241,0.0,1,0.95,682.9150335046886,0.5553107376452114
W33X241,0.0,1,0.85,2110.680251477964,0.3666877709950317
W33X241,0.0,1,0.75,2714.3138669643345,0.24986037794726262
W33X241,0.0,1,0.5,-,-
W33X241,0.0,1,0.25,-,-
W33X241,0.0,1,0.15,-,-
W33X241,0.0,1,0.05,-,-
W24X370,0.0,1,0.95,1467.5592871263148,0.40710853002759717
W24X370,0.0,1,0.85,3224.8429050230566,0.2574147276935264
W24X370,0.0,1,0.75,-,-
W24X370,0.0,1,0.5,-,-
W24X370,0.0,1,0.25,-,-
W24X370,0.0,1,0.15,-,-
W24X370,0.0,1,0.05,-,-
W36X210,0.0,1,0.95,674.7625559291532,0.5611795007054933
W36X210,0.0,1,0.85,2094.1339911521927,0.3613107278487512
W36X210,0.0,1,0.75,2702.3426044163957,0.25024788315497937
W36X210,0.0,1,0.5,-,-
W36X210,0.0,1,0.25,-,-
W36X210,0.0,1,0.15,-,-
W36X210,0.0,1,0.05,-,-
W30X261,0.0,1,0.95,820.9658252876427,0.521001342467758
W30X261,0.0,1,0.85,2402.452786387634,0.36354713127813115
W30X261,0.0,1,0.75,2583.9798428380896,0.15636003899333836
W30X261,0.0,1,0.5,-,-
W30X261,0.0,1,0.25,-,-
W30X261,0.0,1,0.15,-,-
W30X261,0.0,1,0.05,-,-
W27X307,0.0,1,0.95,1108.3035678782867,0.44202830043396035
W27X307,0.0,1,0.85,2714.737899957941,0.29738717766400585
W27X307,0.0,1,0.75,2122.6904213099515,0.025762603305677197
W27X307,0.0,1,0.5,-,-
W27X307,0.0,1,0.25,-,-
W27X307,0.0,1,0.15,-,-
W27X307,0.0,1,0.05,-,-
W33X221,0.0,1,0.95,598.9739066230408,0.589764855950214
W33X221,0.0,1,0.85,1962.367806779087,0.36368004800054243
