section_size,eccentricity,length,DCR,median,log_standard_deviation
W33X387,0.000,17,0.25,348030.846,1.184
W33X387,0.000,17,0.15,348030.846,1.184
W33X387,0.000,17,0.05,348030.846,1.184
W33X387,0.000,13,0.95,1218.788,0.425
W33X387,0.000,13,0.85,2696.314,0.257
W33X387,0.000,13,0.75,348030.826,1.184
W33X387,0.000,13,0.50,348030.846,1.184
W33X387,0.000,13,0.25,348030.846,1.184
W33X387,0.000,13,0.15,348030.846,1.184
W33X387,0.000,13,0.05,348030.846,1.184
W33X387,0.000,9,0.95,1218.788,0.425
W33X387,0.000,9,0.85,2696.314,0.257
W33X387,0.000,9,0.75,348030.846,1.184
W33X387,0.000,9,0.50,348030.846,1.184
W33X387,0.000,9,0.25,348030.846,1.184
W33X387,0.000,9,0.15,348030.846,1.184
W33X387,0.000,9,0.05,348030.846,1.184
W36X330,0.000,29,0.95,969.375,0.474
W36X330,0.000,29,0.85,2470.060,0.306
W36X330,0.000,29,0.75,3248.304,0.214
W36X330,0.000,29,0.50,348030.846,1.184
W36X330,0.000,29,0.25,348030.846,1.184
W36X330,0.000,29,0.15,348030.846,1.184
W36X330,0.000,29,0.05,348030.846,1.184
W36X330,0.000,25,0.95,969.375,0.474
W36X330,0.000,25,0.85,2470.060,0.306
W36X330,0.000,25,0.75,3248.304,0.214
W36X330,0.000,25,0.50,348030.846,1.184
W36X330,0.000,25,0.25,348030.846,1.184
W36X330,0.000,25,0.15,348030.846,1.184
W36X330,0.000,25,0.05,348030.846,1.184
W36X330,0.000,21,0.95,969.375,0.474
W36X330,0.000,21,0.85,2470.060,0.306
W36X330,0.000,21,0.75,3248.304,0.214
W36X330,0.000,21,0.50,348030.846,1.184
W36X330,0.000,21,0.25,348030.846,1.184
W36X330,0.000,21,0.15,348030.846,1.184
W36X330,0.000,21,0.05,348030.846,1.184
W36X330,0.000,17,0.95,969.375,0.474
W36X330,0.000,17,0.85,2470.060,0.306
W36X330,0.000,17,0.75,3248.304,0.214
W36X330,0.000,17,0.50,348030.846,1.184
W36X330,0.000,17,0.25,348030.846,1.184
W36X330,0.000,17,0.15,348030.846,1.184
W36X330,0.000,17,0.05,348030.849,1.184
W36X330,0.000,13,0.95,969.375,0.474
W36X330,0.000,13,0.85,2470.060,0.306
W36X330,0.000,13,0.75,3248.304,0.214
W36X330,0.000,13,0.50,348030.833,1.184
W36X330,0.000,13,0.25,348030.846,1.184
W36X330,0.000,13,0.15,348030.846,1.184
W36X330,0.000,13,0.05,348030.846,1.184
W36X330,0.000,9,0.95,969.375,0.474
W36X330,0.000,9,0.85,2470.060,0.306
W36X330,0.000,9,0.75,3248.304,0.214
W36X330,0.000,9,0.50,348030.846,1.184
W36X330,0.000,9,0.25,348030.846,1.184
W36X330,0.000,9,0.15,348030.846,1.184
W36X330,0.000,9,0.05,348030.846,1.184
W33X354,0.000,29,0.95,1108.304,0.442
W33X354,0.000,29,0.85,2714.738,0.297
W33X354,0.000,29,0.75,2122.683,0.026
W33X354,0.000,29,0.50,348030.846,1.184
W33X354,0.000,29,0.25,348030.826,1.184
W33X354,0.000,29,0.15,348030.848,1.184
W33X354,0.000,29,0.05,348030.846,1.184
W33X354,0.000,25,0.95,1108.304,0.442
W33X354,0.000,25,0.85,2714.738,0.297
W33X354,0.000,25,0.75,2122.688,0.026
W33X354,0.000,25,0.50,348030.846,1.184
W33X354,0.000,25,0.25,348030.846,1.184
W33X354,0.000,25,0.15,348030.846,1.184
W33X354,0.000,25,0.05,348030.846,1.184
W33X354,0.000,21,0.95,1108.304,0.442
W33X354,0.000,21,0.85,2714.738,0.297
W33X354,0.000,21,0.75,2122.688,0.026
W33X354,0.000,21,0.50,348030.846,1.184
W33X354,0.000,21,0.25,348030.846,1.184
W33X354,0.000,21,0.15,348030.846,1.184
W33X354,0.000,21,0.05,348030.846,1.184
W33X354,0.000,17,0.95,1108.304,0.442
W33X354,0.000,17,0.85,2714.738,0.297
W33X354,0.000,17,0.75,2122.688,0.026
W33X354,0.000,17,0.50,348030.846,1.184
W33X354,0.000,17,0.25,348030.846,1.184
W33X354,0.000,17,0.15,348030.846,1.184
W33X354,0.000,17,0.05,348030.846,1.184
W33X354,0.000,13,0.95,1108.304,0.442
W33X354,0.000,13,0.85,2714.738,0.297
W33X354,0.000,13,0.75,2122.688,0.026
W33X354,0.000,13,0.50,348030.846,1.184
W33X354,0.000,13,0.25,348030.846,1.184
W33X354,0.000,13,0.15,348030.829,1.184
W33X354,0.000,13,0.05,348030.846,1.184
W33X354,0.000,9,0.95,1108.304,0.442
W33X354,0.000,9,0.85,2714.738,0.297
W33X354,0.000,9,0.75,2122.688,0.026
W33X354,0.000,9,0.50,348030.846,1.184
W33X354,0.000,9,0.25,348030.846,1.184
W33X354,0.000,9,0.15,348030.846,1.184
W33X354,0.000,9,0.05,348030.846,1.184
